Iteration,Error
0,0.45147282061057076
100,0.0515971459869969
200,0.037895283796944464
300,0.010507028701493311
400,0.008279636745221579
500,0.00940458036114855
600,0.009644832119775185
700,0.00985432080261603
800,0.009382917431536984
900,0.004193810049073997
1000,0.004008081673486047
1100,0.004696137360407309
