Iteration,Error
0,0.380372720380831
100,0.02622162696491736
200,0.023128240229154197
300,0.01162495276533885
400,0.00788747189267223
500,0.005059301964546481
600,0.008699094324426301
700,0.005535998795242257
800,0.003202631467387526
900,0.006511470951156067
1000,0.005083703454216868
1100,0.0027205323643511603
1200,0.0033970971227309235
1300,0.0023125830763452183
1400,0.0024383043975607305
1500,0.0022739157361035193
1600,0.0019998759789617293
1700,0.00393278122280342
1800,0.0032221601278971564
1900,0.003432262662008188
2000,0.002805040596714459
2100,0.0032010500608319063
2200,0.0015254115160080101
2300,0.0015634024340685912
2400,0.0011149084479570091
2500,0.0013941360341148744
2600,0.001702843319461622
2700,0.0012393208904377916
2800,0.0007796727824826671
2900,0.0013866228607889084
3000,0.0019684594424065425
3100,0.0009431657349241794
3200,0.0016237141464936484
3300,0.0009744615966523427
